slovo,poradi
tlačítko,1
tlačítka,1
tlačítkem,1
tlačítku,1
stisknout,2
zmáčknout,3
tlačítek,1
klávesu,4
kolečko,5
stiskněte,6
stisknete,7
stisknutí,8
políčko,9
přepínač,10
klepnutí,11
tlačítky,1
kliknutí,12
kliknout,13
vypínač,14
spínač,15
ikonku,16
ikonu,17
okénko,18
liště,19
knoflík,20
klávesa,4
přepnutí,21
okno,22
stisk,23
spouště,24
klepnutím,25
enter,26
kliknutím,27
menu,28
zmáčknutí,29
madlo,30
klávesy,4
páčky,31
držadlo,32
stiskem,23
šipku,33
kliknete,34
klepněte,25
čidlo,35
stisku,36
spínače,15
přepínání,37
klikněte,38
klávesou,4
podržte,39
ikonka,40
zapnutí,41
šipky,33
mačkat,42
zapnout,43
poutko,44
dialogové,45
mezerník,46
klikneme,47
ovladač,48
klikne,49
ovládací,50
ikony,17
ovládání,51
záložku,52
stisknutím,8
reset,53
programovatelné,54
myši,55
sluchátko,56
přepínací,57
kartě,58
spínačem,15
hlasitosti,59
knoflíkem,20
vypínací,60
kurzor,61
senzor,62
rukojeti,63
vypínače,14
ikonky,64
nastavení,65
obrazovce,66
knoflíku,20
ramínko,67
ovladače,48
gesto,68
záložce,69
přepínače,70
pravítko,71
spoušť,24
slovo,72
kontextové,73
víko,74
klikat,38
indikátor,75
kartu,58
panel,76
vypnutí,77
pouzdro,78
páčka,31
položku,79
relé,80
struhadlo,81
šipkou,33
prkénko,82
víčko,83
klikání,84
turbo,85
přepnout,86
směrové,87
knoflíky,20
sedátko,88
zapnuto,43
přepne,89
panelu,76
vodítko,90
aktivovat,91
vypnout,92
přepínačem,93
sklíčko,94
schéma,95
úchyt,96
ovladači,48
diody,97
šipka,33
nouzové,98
pravidlo,99
páku,100
automatické,101
spuštění,102
příkaz,103
funkciesklominerálnípouzdroobecný,104
vypínačem,14
dioda,97
konektor,105
dvojité,106
lišty,19
mikrofon,107
záložky,108
heslo,109
aktivuje,91
písmeno,110
pero,111
rameno,112
zvolte,113
dotykové,114
ventil,115
autíčko,116
lištu,19
činidlo,117
deaktivovat,118
sítko,119
tlačítkům,1
zvonek,120
nastavitelné,121
znaménko,122
světlo,123
otočné,124
ikona,17
odkaz,125
zapne,43
spouštění,126
médium,127
zapnete,43
rádio,128
displej,129
prvek,130
sklíčidlo,131
vlákno,132
červené,133
aktivaci,134
klávesnici,135
časovač,136
pedál,137
časovače,136
těleso,138
vypínání,139
splachování,140
kolečkem,5
aretace,141
volič,142
zapnuté,143
úchytky,144
kláves,4
zapínání,145
brzdy,146
volbu,147
sklo,148
posuvné,149
svítidlo,150
prádlo,151
kontrolky,152
počítadlo,153
oranžové,154
panely,76
baterie,155
zaškrtnutí,156
slovíčko,157
vestavěné,158
sedadlo,159
podržet,160
konektory,161
klik,162
joystick,163
hardwarové,164
indikátory,75
pulzní,165
spustíte,166
klávesovou,167
zrcátko,168
otočný,169
oko,170
přehrávání,171
stlačení,172
povel,173
pravé,174
logo,175
spusťte,166
zvířátko,176
vytáčení,177
kryt,178
blikající,179
ozubené,180
kliku,162
nastavování,181
spínací,182
razítko,183
nádržky,184
spouštěcí,24
kontrolka,152
okně,22
dlaždice,185
položky,79
spustit,166
čerpadlo,186
tělísko,138
položce,79
vozítko,187
levé,188
potvrzovací,189
zvonku,120
křídlo,190
auto,191
páky,100
houkačky,192
vozidlo,193
nástavec,194
klapky,195
otočení,196
zap,197
přídavné,198
odemykání,199
prstem,200
zapínat,43
brzdu,146
stránce,201
baterii,155
softwarové,202
hák,203
svorky,204
prst,200
rolovací,205
indikátoru,75
kurzoru,61
nouzový,98
centrum,206
písmenko,207
reproduktor,208
podsvícení,209
klávesové,167
přesměrování,210
výklopné,211
snímač,212
lanko,213
vestavěný,158
automatický,101
dveře,214
vysunutí,215
mechanické,216
zabudované,217
úchyty,218
sepnutí,219
senzory,220
tričko,221
konvice,222
nabití,223
programy,224
lišta,19
displeji,225
konzole,226
nastavit,227
zamknout,228
vyvolání,229
středisko,230
pokyn,231
stojánek,232
kruhové,233
zapnu,43
pojistka,234
nahrávání,235
ostření,236
podsvícený,237
zapíná,238
formulář,239
click,240
espresso,241
pozastavení,242
off,243
rámeček,244
režimy,245
svítilny,246
handsfree,247
konvici,222
monstrum,248
obrazovky,66
příkazy,103
ikon,17
proužek,249
pojistku,234
funkce,250
spustí,166
máchání,251
nádobka,252
dotykem,253
prvky,130
šlehací,254
splachovací,255
otvor,256
páka,100
ukazatel,257
chrastítko,258
konzoly,259
držadlem,32
srdíčko,260
obslužné,261
rukojeť,63
funkci,250
klávesnice,135
blikat,179
rajče,262
podsvícená,263
vypnuto,92
režim,245
očko,264
nápovědy,265
slot,266
pákou,100
zastavení,267
nůžky,268
ikonou,17
konzoli,269
uživatelské,270
pásky,271
sprchu,272
power,273
nástroj,274
kartáč,275
kleště,276
kladivo,277
jednotce,278
diodové,279
zelené,280
smyčky,281
režimů,245
napájení,282
vzad,283
rychlé,284
nápovědu,285
mínus,286
zvolíte,113
blikačky,287
snímání,288
poklop,289
filtr,290
odnímatelné,291
jedno,292
ovladačem,48
inženýrství,293
krytkou,294
nástrojové,295
obrazovka,66
rozhraní,296
předvolby,297
takzvané,298
restart,299
zapuštěné,300
mód,301
kolo,302
přístroj,303
fotoaparát,304
dotyk,253
vyp,305
šumivé,306
barvivo,307
mřížky,308
zarážky,309
šňůrku,310
vajíčko,311
jehly,312
připnout,313
startování,314
nastavíte,227
startér,315
uvozovky,316
smyčku,281
odkazy,125
potvrďte,317
přístroje,303
šálky,318
neklikejte,319
pojistky,234
otevřete,320
nahoře,321
ventily,115
načtení,322
krytka,323
křeslo,324
zařízení,325
pásce,271
funkcím,250
spodní,326
kartáčky,327
spuštěno,166
tísňové,328
navigaci,329
zipy,330
výsuvné,331
hlasitost,59
označeno,332
silikonové,333
zásobník,334
volantu,335
umístěno,336
složce,337
umístěné,336
zóny,338
zvolíme,113
blokování,339
šňůry,340
kalkulačku,341
myš,55
modré,342
control,343
aretací,344
zobrazí,345
nádobě,252
žluté,346
nádoby,252
plastové,347
kameře,348
ucho,349
připojení,350
sloty,266
závěsné,351
pole,352
senzoru,353
potvrzení,354
krmivo,355
vyhřívání,356
rukojetí,63
příslušné,357
nožičky,358
boční,359
multifunkční,360
dvojitý,106
display,361
zaostřování,362
osvětlení,363
sluníčko,364
pneumatické,365
odpočítávání,366
ovladatelné,367
ukazatelem,257
vložit,368
prasátko,369
kotvy,370
mleté,371
programů,224
zavírání,372
obrazovku,66
objímka,373
zdvojené,374
myší,375
zubaté,376
kalhoty,377
startovací,378
akcelerátor,379
nástroje,274
přísady,380
mýdlo,381
bezdrátové,382
dotykový,383
diodou,384
kuličkové,385
mixér,386
béčko,387
dotek,388
titanové,389
složku,337
magnet,390
kartáček,391
spínání,392
držadla,32
přepínat,393
schodiště,394
vodič,395
posouvání,396
otáčení,397
pákové,398
madlem,30
kolík,399
reproduktory,208
ovládacího,400
spárování,401
analogové,402
tílko,403
kláv,404
triko,405
spouštět,166
vpravo,406
plus,407
kritérium,408
aktivujte,91
bliká,179
měnič,409
zoom,410
výstražné,411
podlaží,412
sekci,413
zápatí,414
nahoru,415
přejděte,416
zavřete,417
chromové,418
zpětné,419
displejem,129
pomocné,420
zámek,421
maso,422
intuitivní,423
straně,424
sklopné,425
kontaktní,426
madla,30
aktivační,427
svorka,204
středové,428
záložka,429
restartovat,430
kávovar,431
krytýbazén,432
elektromagnetické,433
moduly,434
úchytu,435
vyjímatelné,436
vyměnitelné,437
téma,438
ukazatele,257
proměnné,439
ovládacím,440
formuláře,239
povely,173
označené,332
dávkovač,441
vypínat,92
osvětlené,442
objímky,443
editovat,444
hnětací,445
přesunutí,446
studio,447
toto,448
proužky,249
doleva,449
umyvadlo,450
lepidlo,451
kabel,452
klapkou,195
pauza,453
aplikaci,454
spouští,24
zamčení,455
porty,456
zabudovaný,457
